timestamp,RV,r
2016-11-16 00:00:00+00:00,0.001412002,-0.024668246
2016-11-17 00:00:00+00:00,0.00161309,-0.010040245
2016-11-18 00:00:00+00:00,0.003097767,-0.041200472
2016-11-19 00:00:00+00:00,0.000864253,0.017718025
2016-11-20 00:00:00+00:00,0.001045363,-0.008298803
2016-11-21 00:00:00+00:00,0.000905934,-0.006269613
2016-11-22 00:00:00+00:00,0.002532265,0.034006368
2016-11-23 00:00:00+00:00,0.000853449,-0.007117468
2016-11-24 00:00:00+00:00,0.003788062,-0.065355181
2016-11-25 00:00:00+00:00,0.001568211,0.023682485
2016-11-26 00:00:00+00:00,0.000759438,-0.007474674
2016-11-27 00:00:00+00:00,0.001925622,-0.038235133
2016-11-28 00:00:00+00:00,0.002381048,-0.035131092
2016-11-29 00:00:00+00:00,0.006274533,-0.063078611
2016-11-30 00:00:00+00:00,0.004521412,0.054972023
2016-12-01 00:00:00+00:00,0.00187158,-0.017595762
2016-12-02 00:00:00+00:00,0.009011046,-0.089057579
2016-12-03 00:00:00+00:00,0.004563072,0.016677744
2016-12-04 00:00:00+00:00,0.003065873,-0.0643689
2016-12-05 00:00:00+00:00,0.005093265,-0.087875201
2016-12-06 00:00:00+00:00,0.030057182,0.148420005
2016-12-07 00:00:00+00:00,0.011414904,0.064299029
2016-12-08 00:00:00+00:00,0.004490182,-0.018127385
2016-12-09 00:00:00+00:00,0.004998833,0.032396354
2016-12-10 00:00:00+00:00,0.001376659,-0.039740329
2016-12-11 00:00:00+00:00,0.001227724,0.010995835
2016-12-12 00:00:00+00:00,0.002851137,0.033455928
2016-12-13 00:00:00+00:00,0.001389816,-0.011820469
2016-12-14 00:00:00+00:00,0.001068935,-0.02042113
2016-12-15 00:00:00+00:00,0.003361541,-0.051037834
2016-12-16 00:00:00+00:00,0.001856462,0.001276324
2016-12-17 00:00:00+00:00,0.002295528,0.001274697
2016-12-18 00:00:00+00:00,0.001809789,0.008877674
2016-12-19 00:00:00+00:00,0.001138452,-0.035993603
2016-12-20 00:00:00+00:00,0.001223602,0
2016-12-21 00:00:00+00:00,0.001551294,0.034730179
2016-12-22 00:00:00+00:00,0.004020103,-0.046580219
2016-12-23 00:00:00+00:00,0.004570521,-0.057236329
2016-12-24 00:00:00+00:00,0.002662843,0.012543718
2016-12-25 00:00:00+00:00,0.001989397,-0.004163781
2016-12-26 00:00:00+00:00,0.001666361,0.009688657
2016-12-27 00:00:00+00:00,0.002921181,-0.013869848
2016-12-28 00:00:00+00:00,0.004481947,0.059638266
2016-12-29 00:00:00+00:00,0.008763944,0.086901722
2016-12-30 00:00:00+00:00,0.002343713,-0.009697046
2016-12-31 00:00:00+00:00,0.001263578,-0.006108754
2017-01-01 00:00:00+00:00,0.002389673,0.002447982
2017-01-02 00:00:00+00:00,0.001811988,0.024155764
2017-01-03 00:00:00+00:00,0.006403244,0.134872974
2017-01-04 00:00:00+00:00,0.004934958,0.152510724
2017-01-05 00:00:00+00:00,0.018225287,-0.087907033
2017-01-06 00:00:00+00:00,0.006725571,-0.008836582
2017-01-07 00:00:00+00:00,0.004522713,-0.021935077
2017-01-08 00:00:00+00:00,0.001744525,0.056822336
2017-01-09 00:00:00+00:00,0.004036786,-0.009569451
2017-01-10 00:00:00+00:00,0.001953794,0.021874386
2017-01-11 00:00:00+00:00,0.007094578,-0.066107641
2017-01-12 00:00:00+00:00,0.003735679,-0.015190165
2017-01-13 00:00:00+00:00,0.001616934,0.004073325
2017-01-14 00:00:00+00:00,0.000610427,0.002030458
2017-01-15 00:00:00+00:00,0.000582165,0.004048589
2017-01-16 00:00:00+00:00,0.000967797,-0.024541109
2017-01-17 00:00:00+00:00,0.00125617,0.068026221
2017-01-18 00:00:00+00:00,0.001619841,-0.010695289
2017-01-19 00:00:00+00:00,0.000675858,0.018402456
2017-01-20 00:00:00+00:00,0.000969918,0.019953156
2017-01-21 00:00:00+00:00,0.001681099,0.02783111
2017-01-22 00:00:00+00:00,0.0008559,-0.014746811
2017-01-23 00:00:00+00:00,0.000739584,0.002781643
2017-01-24 00:00:00+00:00,0.000500085,-0.021526334
2017-01-25 00:00:00+00:00,0.000531158,-0.00189394
2017-01-26 00:00:00+00:00,0.000520782,0.004728141
2017-01-27 00:00:00+00:00,0.000445758,-0.004728141
2017-01-28 00:00:00+00:00,0.000208077,0.002839567
2017-01-29 00:00:00+00:00,0.000166333,-0.008543004
2017-01-30 00:00:00+00:00,0.000333973,0.010431579
2017-01-31 00:00:00+00:00,0.000519121,0.00938974
2017-02-01 00:00:00+00:00,0.000689354,0.001867414
2017-02-02 00:00:00+00:00,0.000643179,0.009285118
2017-02-03 00:00:00+00:00,0.000543468,0.015589495
2017-02-04 00:00:00+00:00,0.00097812,0.037504395
2017-02-05 00:00:00+00:00,0.000592708,-0.013233541
2017-02-06 00:00:00+00:00,0.000497307,0.007079676
2017-02-07 00:00:00+00:00,0.000377698,0.014879924
2017-02-08 00:00:00+00:00,0.000983925,-0.008726059
2017-02-09 00:00:00+00:00,0.003111116,-0.035686213
2017-02-10 00:00:00+00:00,0.00178072,0.037437527
