,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-04-20,4.22E-05,6.07E-05,5.69E-05,5.64E-05,6.43E-05,0.006154453,1.56E-05,209.07,210.25,208.96,209.85
2015-04-21,3.86E-05,4.39E-05,2.86E-05,2.03E-05,1.45E-05,0.007617271,1.91E-05,210.67,210.85,209.25,209.62
2015-04-22,2.84E-05,2.74E-05,2.21E-05,2.71E-05,1.56E-05,0.009291312,2.51E-05,210.02,210.85,208.9,210.64
2015-04-23,2.57E-05,2.47E-05,2.60E-05,2.35E-05,2.60E-05,0.009100883,2.39E-05,210.16,211.93,210.01,211.18
2015-04-24,2.06E-05,2.03E-05,1.08E-05,9.17E-06,6.56E-06,0.004065431,9.55E-06,211.66,211.97,211.11,211.65
2015-04-27,2.93E-05,2.68E-05,2.72E-05,2.73E-05,1.69E-05,0.009172207,2.11E-05,212.33,212.48,210.54,210.77
2015-04-28,3.06E-05,3.03E-05,4.41E-05,3.74E-05,5.96E-05,0.010265274,3.54E-05,210.74,211.5,209.34,211.42
2015-04-29,8.04E-05,6.09E-05,5.51E-05,4.12E-05,5.44E-05,0.008030645,4.41E-05,210.37,211.29,209.6,210.55
2015-04-30,7.53E-05,5.64E-05,5.28E-05,5.20E-05,5.98E-05,0.013015783,5.95E-05,209.88,210.34,207.62,208.46
2015-05-01,4.38E-05,6.59E-05,5.87E-05,5.54E-05,6.33E-05,0.007094423,2.60E-05,209.41,210.77,209.28,210.68
2015-05-04,2.27E-05,2.26E-05,2.07E-05,2.52E-05,3.13E-05,0.004348655,1.08E-05,211.23,212.02,211.1,211.36
2015-05-05,4.23E-05,3.85E-05,3.53E-05,3.37E-05,2.91E-05,0.012947013,3.84E-05,211.02,211.45,208.73,208.9
2015-05-06,5.74E-05,7.40E-05,9.65E-05,6.26E-05,5.11E-05,0.015215441,7.32E-05,209.56,209.93,206.76,208.03
2015-05-07,3.84E-05,3.62E-05,3.26E-05,3.31E-05,3.52E-05,0.008923062,3.53E-05,207.92,209.38,207.52,208.88
2015-05-08,0.000105058,0.000112406,0.000114275,0.000100527,0.000144354,0.005063302,9.13E-06,210.87,211.86,210.79,211.63
2015-05-11,2.36E-05,2.04E-05,1.76E-05,1.34E-05,1.42E-05,0.006439111,2.15E-05,211.57,211.89,210.53,210.61
2015-05-12,6.38E-05,7.85E-05,8.44E-05,7.97E-05,0.000114639,0.009540692,4.54E-05,209.61,210.63,208.63,209.96
2015-05-13,3.32E-05,4.03E-05,5.28E-05,4.47E-05,4.61E-05,0.007031576,3.24E-05,210.47,211.22,209.74,210.04
2015-05-14,5.08E-05,4.73E-05,4.15E-05,3.87E-05,3.07E-05,0.006663068,1.09E-05,211.25,212.32,210.91,212.21
2015-05-15,1.64E-05,1.57E-05,1.48E-05,8.88E-06,4.92E-06,0.003486622,9.43E-06,212.44,212.61,211.87,212.47
2015-05-18,1.02E-05,6.81E-06,6.06E-06,4.68E-06,7.75E-06,0.005827632,5.82E-06,212.24,213.4,212.16,213.08
2015-05-19,1.54E-05,1.36E-05,1.08E-05,9.60E-06,1.29E-05,0.004105529,1.14E-05,213.25,213.565,212.69,213.02
2015-05-20,1.90E-05,2.10E-05,1.85E-05,2.56E-05,2.12E-05,0.005911625,2.17E-05,213.15,213.77,212.51,212.87
2015-05-21,1.17E-05,1.24E-05,8.59E-06,8.73E-06,7.91E-06,0.005724222,9.80E-06,212.7,213.74,212.52,213.47
2015-05-22,1.63E-05,1.23E-05,1.46E-05,7.67E-06,9.51E-06,0.002954628,7.80E-06,213.04,213.54,212.91,212.97
2015-05-26,3.64E-05,3.79E-05,3.17E-05,4.51E-05,4.34E-05,0.010834957,2.04E-05,212.41,212.5,210.21,210.73
2015-05-27,2.52E-05,1.79E-05,1.78E-05,1.78E-05,2.00E-05,0.010027808,1.82E-05,211.25,212.975,210.85,212.68
